T,R1,R2,R3,R4,R5,R6,R7,R8
20.04,108.45169,108.42669,108.40431,108.31875,108.37667,108.44116,108.33455,108.40694
20.04,108.45169,108.428,108.40563,108.31875,108.37667,108.43985,108.33586,108.40826
21.95,109.19538,109.17169,109.14668,109.06244,109.11245,109.17827,109.07165,109.14273
21.95,109.19538,109.17037,109.14536,109.06112,109.11377,109.17695,109.07033,109.14273
23.97,109.98908,109.96539,109.93775,109.85482,109.89958,109.96802,109.8614,109.93248
23.97,109.9904,109.96407,109.93775,109.85351,109.90089,109.96802,109.85877,109.9338
25.97,110.77357,110.74988,110.7196,110.63668,110.68538,110.75383,110.64326,110.71565
25.97,110.77357,110.74988,110.7196,110.638,110.68406,110.75383,110.64458,110.71565
27.97,111.56332,111.537,111.50278,111.42248,111.47118,111.54226,111.43565,111.50672
27.97,111.56201,111.53568,111.50278,111.42248,111.46987,111.54358,111.43433,111.50672
30,112.35044,112.32412,112.28726,112.20697,112.25436,112.3307,112.22277,112.29516
30,112.34781,112.32543,112.28595,112.20829,112.25436,112.3307,112.22408,112.29516
31.97,113.12703,113.10203,113.06122,112.98225,113.02437,113.10597,112.99541,113.07044
31.97,113.1244,113.10071,113.05991,112.98356,113.02437,113.10597,112.99541,113.06912
34,113.91152,113.88388,113.8365,113.76279,113.74041,113.80754,113.70092,113.77463
34,113.91152,113.88651,113.8365,113.76279,113.74041,113.80886,113.70224,113.77463
37,115.08826,115.06456,115.01191,114.94084,114.92899,115.00138,114.89213,114.96584
37,115.08694,115.06325,115.0106,114.9382,114.9303,115.00138,114.89477,114.96716
42,117.03896,117.01658,116.95998,116.89154,116.92839,117.02711,116.91786,116.99157
42,117.03896,117.01921,116.95998,116.89022,116.92839,117.02974,116.91918,116.99157
47,119.01071,118.99228,118.92383,118.85802,118.87118,118.97912,118.86987,118.94489
47,119.01071,118.99228,118.92778,118.86065,118.86987,118.98175,118.8725,118.94621
51.1,120.59943,120.57968,120.50466,120.44279,120.46122,120.58232,120.47307,120.54678
51.1,120.59943,120.57837,120.50334,120.44543,120.46254,120.58232,120.47175,120.54678
